,codigo,x,y,tipo,numero
0,127,44322976,448542753,cruces,2
1,127,44322285,448530840,cruces,4
2,127,44320997,448510385,cruces,8
3,127,44290433,448494484,cruces,14
4,127,44260746,448479753,cruces,22
5,127,44260732,448479748,cruces,22
6,150,44584029,447000847,cruces,4
7,150,44588510,446986420,cruces,16
8,150,44592921,446971597,cruces,22
9,150,44597548,446958660,cruces,26
10,200,44040735,447469007,cruces,2
11,200,44035124,447475670,cruces,10
12,200,44031419,447484720,cruces,14
13,200,44031419,447484720,cruces,14
14,300,44034139,447374737,cruces,2
15,300,44074694,446861668,cruces,24
16,300,44019818,447368114,cruces,24
17,400,44040052,447975862,cruces,1
18,400,44040272,447979914,cruces,9
19,400,44040272,447979914,cruces,9
20,600,44456934,447816573,cruces,1
21,600,44438467,447822146,cruces,5
22,600,44438467,447822146,cruces,5
23,600,44440705,447823828,cruces,5
24,700,44736416,447563177,cruces,2
25,700,44740307,447555986,cruces,10
26,702,44392332,448209204,cruces,1
27,702,44396054,448229194,cruces,7
28,703,44341682,447330128,cruces,1
29,703,44340333,447305766,cruces,11
30,705,43976931,447323236,cruces,2
31,705,43999995,447315333,cruces,14
32,709,43466054,447829940,cruces,2
33,709,43466054,447829940,cruces,2
34,709,43462768,447830626,cruces,4
35,709,43461302,447835615,cruces,8
36,710,43466054,447829940,cruces,2
37,710,43466054,447829940,cruces,2
38,710,43470545,447830807,cruces,2
39,710,43470443,447835672,cruces,8
40,711,43494290,447830807,cruces,4
41,711,43492919,447831818,cruces,6
42,711,43492336,447836039,cruces,8
43,716,44261996,447704898,cruces,2
44,716,44258956,447709937,cruces,4
45,718,44263020,447721976,cruces,2
46,718,44265328,447747211,cruces,18
47,720,44622608,447345999,cruces,1
48,720,44622608,447345999,cruces,1
49,720,44634922,447381333,cruces,23
50,721,44622608,447345999,cruces,2
51,721,44622608,447345999,cruces,2
52,721,44622210,447331692,cruces,6
53,721,44621221,447314792,cruces,12
54,721,44620495,447305537,cruces,16
55,722,43788126,448118605,cruces,1
56,722,43788527,448131541,cruces,23
57,722,43788527,448131541,cruces,23
58,725,45020075,448024957,cruces,1
59,725,45026652,448024967,cruces,5
60,725,45039745,448024999,cruces,27
61,725,45053758,448024920,cruces,49
62,725,45067003,448024999,cruces,57
63,726,45053758,448024920,cruces,4
64,726,45054387,448025667,cruces,4
65,726,45057954,448032336,cruces,10
66,726,45056205,448038304,cruces,16
67,726,45054451,448043617,cruces,18
68,726,45054451,448043617,cruces,18
69,727,45056205,448038304,cruces,1
70,727,45067593,448038134,cruces,9
71,728,44421413,447958190,cruces,2
72,728,44421727,447957898,cruces,2
73,728,44421727,447957898,cruces,2
